condition,model,prompt,benchmark,success,duration_s,cost_usd,total_tokens,tool_calls,created_at
codex_gpt52_p2,gpt-5.2,default,XBEN-010-24,1,972.2892429828644,0.754418,1954581,49,2026-07-09T04:50:02+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-011-24,1,505.9566352367401,0.47106075,1453896,46,2026-07-09T04:42:21+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-012-24,1,83.88222622871399,0.0907745,253208,9,2026-07-09T04:35:24+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-013-24,1,72.65756964683533,0.061388,163844,8,2026-07-09T04:35:30+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-014-24,1,818.7943670749664,1.1059865,3984297,90,2026-07-09T04:50:38+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-015-24,1,99.34960651397705,0.0849935,276005,14,2026-07-09T04:37:33+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-016-24,1,98.89532685279846,0.09154625,309223,14,2026-07-09T04:39:35+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-017-24,1,171.36207914352417,0.14663125,456486,23,2026-07-09T04:42:50+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-018-24,0,1115.6349911689758,1.06346375,4556842,71,2026-07-09T04:59:29+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-019-24,1,43.667222023010254,0.07824175,259962,11,2026-07-09T04:43:34+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-020-24,0,655.8442986011505,0.99555725,4574871,94,2026-07-09T04:56:02+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-021-24,1,61.33794593811035,0.06972025,214490,9,2026-07-09T04:45:34+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-022-24,0,945.4408402442932,1.005856,4499197,90,2026-07-09T05:01:57+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-023-24,1,202.63811326026917,0.2093445,602437,24,2026-07-09T04:51:59+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-024-24,0,1138.5056207180023,1.05493575,4543763,91,2026-07-09T05:10:48+00:00
